"parm_id";"industry";"cartel";"detected";"nTc";"rep_off";"start";"end";"duration";"lduration";"n_firms";"sigma_start";"in_cartel";"nfirms2";"nfirms3";"sigma2";"sigma3";"nfirms_sigma"
1;1;1;1;1;0;1;397;397;5.98645200528444;2;0.1;1;4;8;0.01;0.001;0.2
1;1;2;0;1;0;399;1000;602;6.40191719672719;2;0.1;1;4;8;0.01;0.001;0.2
2;1;1;1;1;0;1;476;476;6.16751649088834;2;0.15;1;4;8;0.0225;0.003375;0.3
2;1;2;0;1;0;478;1000;523;6.26149168432104;2;0.15;1;4;8;0.0225;0.003375;0.3
3;1;1;1;1;0;1;972;972;6.880384082186;2;0.2;1;4;8;0.04;0.008;0.4
3;1;2;0;1;0;974;1000;27;3.3322045101752;2;0.2;1;4;8;0.04;0.008;0.4
4;1;1;1;1;0;1;99;99;4.60517018598809;2;0.25;1;4;8;0.0625;0.015625;0.5
4;1;2;1;2;1;101;194;94;4.55387689160054;2;0.25;1;4;8;0.0625;0.015625;0.5
4;1;3;1;3;1;196;294;99;4.60517018598809;2;0.25;1;4;8;0.0625;0.015625;0.5
4;1;4;1;4;1;296;522;227;5.42934562895444;2;0.25;1;4;8;0.0625;0.015625;0.5
4;1;5;1;5;1;524;746;223;5.41164605185504;2;0.25;1;4;8;0.0625;0.015625;0.5
4;1;6;0;5;1;748;1000;253;5.53733426701854;2;0.25;1;4;8;0.0625;0.015625;0.5
5;1;1;1;1;0;1;108;108;4.69134788222914;2;0.3;1;4;8;0.09;0.027;0.6
5;1;2;1;2;1;110;155;46;3.85014760171006;2;0.3;1;4;8;0.09;0.027;0.6
5;1;3;1;3;1;157;372;216;5.37989735354046;2;0.3;1;4;8;0.09;0.027;0.6
5;1;4;1;4;1;374;716;343;5.8406416573734;2;0.3;1;4;8;0.09;0.027;0.6
5;1;5;1;5;1;718;723;6;1.94591014905531;2;0.3;1;4;8;0.09;0.027;0.6
5;1;6;0;5;1;725;1000;276;5.62401750618734;2;0.3;1;4;8;0.09;0.027;0.6
6;1;1;1;1;0;1;246;246;5.50938833662798;2;0.35;1;4;8;0.1225;0.042875;0.7
6;1;2;0;1;0;248;1000;753;6.62539236800796;2;0.35;1;4;8;0.1225;0.042875;0.7
7;1;1;0;0;0;1;1000;1000;6.90875477931522;3;0.1;1;9;27;0.01;0.001;0.3
8;1;1;1;1;0;1;404;404;6.00388706710654;3;0.15;1;9;27;0.0225;0.003375;0.45
8;1;2;1;2;1;406;456;51;3.95124371858143;3;0.15;1;9;27;0.0225;0.003375;0.45
8;1;3;1;3;1;458;523;66;4.20469261939097;3;0.15;1;9;27;0.0225;0.003375;0.45
8;1;4;1;4;1;525;578;54;4.00733318523247;3;0.15;1;9;27;0.0225;0.003375;0.45
8;1;5;0;4;1;580;1000;421;6.04500531403601;3;0.15;1;9;27;0.0225;0.003375;0.45
9;1;1;1;1;0;1;290;290;5.67332326717149;3;0.2;1;9;27;0.04;0.008;0.6
9;1;2;1;2;1;292;890;599;6.39692965521615;3;0.2;1;9;27;0.04;0.008;0.6
9;1;3;0;2;1;892;1000;109;4.70048036579242;3;0.2;1;9;27;0.04;0.008;0.6
10;1;1;1;1;0;1;103;103;4.64439089914137;3;0.25;1;9;27;0.0625;0.015625;0.75
10;1;2;1;2;1;105;362;258;5.55682806169954;3;0.25;1;9;27;0.0625;0.015625;0.75
10;1;3;1;3;1;364;423;60;4.11087386417331;3;0.25;1;9;27;0.0625;0.015625;0.75
10;1;4;1;4;1;425;610;186;5.23110861685459;3;0.25;1;9;27;0.0625;0.015625;0.75
10;1;5;0;4;1;612;1000;389;5.96614673912369;3;0.25;1;9;27;0.0625;0.015625;0.75
11;1;1;1;1;0;1;196;196;5.28320372873799;3;0.3;1;9;27;0.09;0.027;0.9
11;1;2;1;2;1;198;389;192;5.26269018890489;3;0.3;1;9;27;0.09;0.027;0.9
11;1;3;1;3;1;391;596;206;5.33271879326537;3;0.3;1;9;27;0.09;0.027;0.9
11;1;4;0;3;1;598;1000;403;6.00141487796115;3;0.3;1;9;27;0.09;0.027;0.9
12;1;1;0;0;0;1;1000;1000;6.90875477931522;3;0.35;1;9;27;0.1225;0.042875;1.05
13;1;1;0;0;0;1;1000;1000;6.90875477931522;4;0.1;1;16;64;0.01;0.001;0.4
14;1;1;1;1;0;1;341;341;5.8348107370626;4;0.15;1;16;64;0.0225;0.003375;0.6
14;1;2;0;1;0;343;1000;658;6.49072353450251;4;0.15;1;16;64;0.0225;0.003375;0.6
15;1;1;1;1;0;1;426;426;6.05678401322862;4;0.2;1;16;64;0.04;0.008;0.8
15;1;2;1;2;1;428;686;259;5.56068163101553;4;0.2;1;16;64;0.04;0.008;0.8
15;1;3;0;2;1;688;1000;313;5.74939298590825;4;0.2;1;16;64;0.04;0.008;0.8
16;1;1;1;1;0;1;139;139;4.9416424226093;4;0.25;1;16;64;0.0625;0.015625;1
16;1;2;1;2;1;141;192;52;3.97029191355212;4;0.25;1;16;64;0.0625;0.015625;1
16;1;3;1;3;1;194;940;747;6.61740297797448;4;0.25;1;16;64;0.0625;0.015625;1
16;1;4;0;3;1;942;1000;59;4.0943445622221;4;0.25;1;16;64;0.0625;0.015625;1
17;1;1;1;1;0;1;6;6;1.94591014905531;4;0.3;1;16;64;0.09;0.027;1.2
17;1;2;0;1;0;8;1000;993;6.90173720665657;4;0.3;1;16;64;0.09;0.027;1.2
18;1;1;1;1;0;1;161;161;5.08759633523238;4;0.35;1;16;64;0.1225;0.042875;1.4
18;1;2;1;2;1;163;271;109;4.70048036579242;4;0.35;1;16;64;0.1225;0.042875;1.4
18;1;3;1;3;1;273;864;592;6.38519439899773;4;0.35;1;16;64;0.1225;0.042875;1.4
18;1;4;1;4;1;866;915;50;3.93182563272433;4;0.35;1;16;64;0.1225;0.042875;1.4
18;1;5;0;4;1;917;1000;84;4.44265125649032;4;0.35;1;16;64;0.1225;0.042875;1.4
19;1;1;0;0;0;1;939;939;6.84587987526405;5;0.1;1;25;125;0.01;0.001;0.5
19;1;2;0;0;0;941;947;7;2.07944154167984;5;0.1;1;25;125;0.01;0.001;0.5
19;1;3;0;0;0;949;949;1;0.693147180559945;5;0.1;1;25;125;0.01;0.001;0.5
19;1;4;0;0;0;951;951;1;0.693147180559945;5;0.1;1;25;125;0.01;0.001;0.5
19;1;5;0;0;0;983;983;1;0.693147180559945;5;0.1;1;25;125;0.01;0.001;0.5
19;1;6;0;0;0;985;1000;16;2.83321334405622;5;0.1;1;25;125;0.01;0.001;0.5
20;1;1;0;0;0;1;1000;1000;6.90875477931522;5;0.15;1;25;125;0.0225;0.003375;0.75
21;1;1;1;1;0;1;953;953;6.86066367144829;5;0.2;1;25;125;0.04;0.008;1
21;1;2;0;1;0;955;1000;46;3.85014760171006;5;0.2;1;25;125;0.04;0.008;1
22;1;1;1;1;0;1;189;189;5.24702407216049;5;0.25;1;25;125;0.0625;0.015625;1.25
22;1;2;0;1;0;191;1000;810;6.69826805411541;5;0.25;1;25;125;0.0625;0.015625;1.25
23;1;1;0;0;0;1;1000;1000;6.90875477931522;5;0.3;1;25;125;0.09;0.027;1.5
24;1;1;0;0;0;1;1000;1000;6.90875477931522;5;0.35;1;25;125;0.1225;0.042875;1.75
25;1;1;0;0;0;1;355;355;5.87493073085203;6;0.1;1;36;216;0.01;0.001;0.6
25;1;2;0;0;0;357;361;5;1.79175946922805;6;0.1;1;36;216;0.01;0.001;0.6
26;1;1;0;0;0;1;347;347;5.85220247977447;6;0.15;1;36;216;0.0225;0.003375;0.9
26;1;2;0;0;0;349;453;105;4.66343909411207;6;0.15;1;36;216;0.0225;0.003375;0.9
26;1;3;0;0;0;455;455;1;0.693147180559945;6;0.15;1;36;216;0.0225;0.003375;0.9
26;1;4;0;0;0;457;459;3;1.38629436111989;6;0.15;1;36;216;0.0225;0.003375;0.9
26;1;5;0;0;0;461;469;9;2.30258509299405;6;0.15;1;36;216;0.0225;0.003375;0.9
26;1;6;0;0;0;471;473;3;1.38629436111989;6;0.15;1;36;216;0.0225;0.003375;0.9
26;1;7;0;0;0;475;475;1;0.693147180559945;6;0.15;1;36;216;0.0225;0.003375;0.9
26;1;8;0;0;0;477;477;1;0.693147180559945;6;0.15;1;36;216;0.0225;0.003375;0.9
26;1;9;0;0;0;479;1000;522;6.25958146406492;6;0.15;1;36;216;0.0225;0.003375;0.9
27;1;1;0;0;0;1;807;807;6.69456205852109;6;0.2;1;36;216;0.04;0.008;1.2
27;1;2;0;0;0;965;965;1;0.693147180559945;6;0.2;1;36;216;0.04;0.008;1.2
27;1;3;0;0;0;969;969;1;0.693147180559945;6;0.2;1;36;216;0.04;0.008;1.2
27;1;4;0;0;0;971;975;5;1.79175946922805;6;0.2;1;36;216;0.04;0.008;1.2
27;1;5;0;0;0;979;981;3;1.38629436111989;6;0.2;1;36;216;0.04;0.008;1.2
27;1;6;0;0;0;997;997;1;0.693147180559945;6;0.2;1;36;216;0.04;0.008;1.2
27;1;7;0;0;0;999;1000;2;1.09861228866811;6;0.2;1;36;216;0.04;0.008;1.2
28;1;1;0;0;0;1;41;41;3.73766961828337;6;0.25;1;36;216;0.0625;0.015625;1.5
28;1;2;0;0;0;43;47;5;1.79175946922805;6;0.25;1;36;216;0.0625;0.015625;1.5
