"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms";"rho_start";"theta_len";"structured";"detected"
1;1;1;417;417;1;35;35;2;0.1;1;1;1
1;2;419;422;4;35;36;2;2;0.1;1;1;1
3;1;1;65;65;1;6;6;2;0.1;1;1;1
4;1;1;60;60;1;5;5;2;0.1;1;1;1
4;2;62;96;35;6;8;3;2;0.1;1;1;1
4;3;98;269;172;9;23;15;2;0.1;1;1;1
4;4;271;351;81;23;30;8;2;0.1;1;1;1
4;5;353;454;102;30;38;9;2;0.1;1;1;1
4;6;456;501;46;38;42;5;2;0.1;1;1;1
4;7;503;593;91;42;50;9;2;0.1;1;1;1
4;8;595;605;11;50;51;2;2;0.1;1;1;1
4;9;607;823;217;51;69;19;2;0.1;1;1;1
5;1;1;577;577;1;49;49;2;0.1;1;1;1
5;2;579;711;133;49;60;12;2;0.1;1;1;1
5;3;713;867;155;60;73;14;2;0.1;1;1;1
5;4;869;957;89;73;80;8;2;0.1;1;1;1
8;1;1;689;689;1;58;58;2;0.1;1;1;1
8;2;691;749;59;58;63;6;2;0.1;1;1;1
10;1;1;138;138;1;12;12;2;0.1;1;1;1
10;2;140;413;274;12;35;24;2;0.1;1;1;1
10;3;415;740;326;35;62;28;2;0.1;1;1;1
10;4;742;946;205;62;79;18;2;0.1;1;1;1
11;1;1;644;644;1;54;54;2;0.1;1;1;1
11;2;646;848;203;54;71;18;2;0.1;1;1;1
12;1;1;454;454;1;38;38;2;0.1;1;1;1
12;2;456;891;436;38;75;38;2;0.1;1;1;1
12;3;893;899;7;75;75;1;2;0.1;1;1;1
13;1;1;140;140;1;12;12;2;0.1;1;1;1
13;2;142;469;328;12;40;29;2;0.1;1;1;1
13;3;471;766;296;40;64;25;2;0.1;1;1;1
13;4;768;856;89;64;72;9;2;0.1;1;1;1
14;1;1;233;233;1;20;20;2;0.1;1;1;1
14;2;235;421;187;20;36;17;2;0.1;1;1;1
14;3;423;591;169;36;50;15;2;0.1;1;1;1
14;4;593;706;114;50;59;10;2;0.1;1;1;1
14;5;708;854;147;59;72;14;2;0.1;1;1;1
15;1;1;35;35;1;3;3;2;0.1;1;1;1
15;2;37;429;393;4;36;33;2;0.1;1;1;1
15;3;431;945;515;36;79;44;2;0.1;1;1;1
16;1;1;140;140;1;12;12;2;0.1;1;1;1
16;2;142;551;410;12;46;35;2;0.1;1;1;1
17;1;1;818;818;1;69;69;2;0.1;1;1;1
17;2;820;995;176;69;83;15;2;0.1;1;1;1
18;1;1;348;348;1;29;29;2;0.1;1;1;1
18;2;350;720;371;30;60;31;2;0.1;1;1;1
18;3;722;793;72;61;67;7;2;0.1;1;1;1
19;1;1;142;142;1;12;12;2;0.1;1;1;1
19;2;144;285;142;12;24;13;2;0.1;1;1;1
19;3;287;387;101;24;33;10;2;0.1;1;1;1
19;4;389;398;10;33;34;2;2;0.1;1;1;1
19;5;400;456;57;34;38;5;2;0.1;1;1;1
19;6;458;674;217;39;57;19;2;0.1;1;1;1
20;1;1;360;360;1;30;30;2;0.1;1;1;1
20;2;362;404;43;31;34;4;2;0.1;1;1;1
20;3;406;580;175;34;49;16;2;0.1;1;1;1
20;4;582;795;214;49;67;19;2;0.1;1;1;1
20;5;797;927;131;67;78;12;2;0.1;1;1;1
21;1;1;95;95;1;8;8;2;0.1;1;1;1
22;1;1;213;213;1;18;18;2;0.1;1;1;1
23;1;1;713;713;1;60;60;2;0.1;1;1;1
23;2;715;776;62;60;65;6;2;0.1;1;1;1
25;1;1;706;706;1;59;59;2;0.1;1;1;1
25;2;708;916;209;59;77;19;2;0.1;1;1;1
26;1;1;200;200;1;17;17;2;0.1;1;1;1
26;2;202;510;309;17;43;27;2;0.1;1;1;1
28;1;1;269;269;1;23;23;2;0.1;1;1;1
28;2;271;447;177;23;38;16;2;0.1;1;1;1
28;3;449;546;98;38;46;9;2;0.1;1;1;1
