"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms";"rho_start";"theta_len";"structured";"detected";"len_reduction"
1;1;1;417;417;1;35;35;2;0.1;0;0;1;1
1;1;1;417;417;1;35;35;2;0.1;0.5;0;1;0.5
1;1;1;417;417;1;35;35;2;0.1;1;0;1;0
1;1;905;1000;96;76;84;9;2;0.1;0;0;0;1
1;1;905;1000;96;76;84;9;2;0.1;0.5;0;0;0.5
1;1;905;1000;96;76;84;9;2;0.1;1;0;0;0
1;2;419;516;98;35;43;9;2;0.1;0;0;1;1
1;2;419;516;98;35;43;9;2;0.1;0.5;0;1;0.5
1;2;419;516;98;35;43;9;2;0.1;1;0;1;0
1;3;518;903;386;44;76;33;2;0.1;0;0;1;1
1;3;518;903;386;44;76;33;2;0.1;0.5;0;1;0.5
1;3;518;903;386;44;76;33;2;0.1;1;0;1;0
2;1;1;1000;1000;1;84;84;2;0.1;0;0;0;1
2;1;1;1000;1000;1;84;84;2;0.1;0.5;0;0;0.5
2;1;1;1000;1000;1;84;84;2;0.1;1;0;0;0
3;1;1;65;65;1;6;6;2;0.1;0;0;1;1
3;1;1;65;65;1;6;6;2;0.1;0.5;0;1;0.5
3;1;1;65;65;1;6;6;2;0.1;1;0;1;0
3;1;986;1000;15;83;84;2;2;0.1;0;0;0;1
3;1;986;1000;15;83;84;2;2;0.1;0.5;0;0;0.5
3;1;986;1000;15;83;84;2;2;0.1;1;0;0;0
3;2;67;158;92;6;14;9;2;0.1;0;0;1;1
3;2;67;158;92;6;14;9;2;0.1;0.5;0;1;0.5
3;2;67;158;92;6;14;9;2;0.1;1;0;1;0
3;3;160;984;825;14;82;69;2;0.1;0;0;1;1
3;3;160;984;825;14;82;69;2;0.1;0.5;0;1;0.5
3;3;160;984;825;14;82;69;2;0.1;1;0;1;0
4;1;1;60;60;1;5;5;2;0.1;0;0;1;1
4;1;1;60;60;1;5;5;2;0.1;0.5;0;1;0.5
4;1;1;60;60;1;5;5;2;0.1;1;0;1;0
4;1;62;1000;939;6;84;79;2;0.1;0;0;0;1
4;1;62;1000;939;6;84;79;2;0.1;0.5;0;0;0.5
4;1;62;1000;939;6;84;79;2;0.1;1;0;0;0
5;1;1;577;577;1;49;49;2;0.1;0;0;1;1
5;1;1;577;577;1;49;49;2;0.1;0.5;0;1;0.5
5;1;1;577;577;1;49;49;2;0.1;1;0;1;0
5;1;689;1000;312;58;84;27;2;0.1;0;0;0;1
5;1;689;1000;312;58;84;27;2;0.1;0.5;0;0;0.5
5;1;689;1000;312;58;84;27;2;0.1;1;0;0;0
5;2;579;687;109;49;58;10;2;0.1;0;0;1;1
5;2;579;687;109;49;58;10;2;0.1;0.5;0;1;0.5
5;2;579;687;109;49;58;10;2;0.1;1;0;1;0
6;1;1;1000;1000;1;84;84;2;0.1;0;0;0;1
6;1;1;1000;1000;1;84;84;2;0.1;0.5;0;0;0.5
6;1;1;1000;1000;1;84;84;2;0.1;1;0;0;0
7;1;1;1000;1000;1;84;84;2;0.1;0;0;0;1
7;1;1;1000;1000;1;84;84;2;0.1;0.5;0;0;0.5
7;1;1;1000;1000;1;84;84;2;0.1;1;0;0;0
8;1;1;689;689;1;58;58;2;0.1;0;0;1;1
8;1;1;689;689;1;58;58;2;0.1;0.5;0;1;0.5
8;1;1;689;689;1;58;58;2;0.1;1;0;1;0
8;1;982;1000;19;82;84;3;2;0.1;0;0;0;1
8;1;982;1000;19;82;84;3;2;0.1;0.5;0;0;0.5
8;1;982;1000;19;82;84;3;2;0.1;1;0;0;0
8;2;691;758;68;58;64;7;2;0.1;0;0;1;1
8;2;691;758;68;58;64;7;2;0.1;0.5;0;1;0.5
8;2;691;758;68;58;64;7;2;0.1;1;0;1;0
8;3;760;898;139;64;75;12;2;0.1;0;0;1;1
8;3;760;898;139;64;75;12;2;0.1;0.5;0;1;0.5
8;3;760;898;139;64;75;12;2;0.1;1;0;1;0
8;4;900;980;81;75;82;8;2;0.1;0;0;1;1
8;4;900;980;81;75;82;8;2;0.1;0.5;0;1;0.5
8;4;900;980;81;75;82;8;2;0.1;1;0;1;0
9;1;1;1000;1000;1;84;84;2;0.1;0;0;0;1
9;1;1;1000;1000;1;84;84;2;0.1;0.5;0;0;0.5
9;1;1;1000;1000;1;84;84;2;0.1;1;0;0;0
10;1;1;138;138;1;12;12;2;0.1;0;0;1;1
10;1;1;138;138;1;12;12;2;0.1;0.5;0;1;0.5
10;1;1;138;138;1;12;12;2;0.1;1;0;1;0
10;1;148;1000;853;13;84;72;2;0.1;0;0;0;1
10;1;148;1000;853;13;84;72;2;0.1;0.5;0;0;0.5
10;1;148;1000;853;13;84;72;2;0.1;1;0;0;0
10;2;140;146;7;12;13;2;2;0.1;0;0;1;1
10;2;140;146;7;12;13;2;2;0.1;0.5;0;1;0.5
10;2;140;146;7;12;13;2;2;0.1;1;0;1;0
11;1;1;644;644;1;54;54;2;0.1;0;0;1;1
11;1;1;644;644;1;54;54;2;0.1;0.5;0;1;0.5
11;1;1;644;644;1;54;54;2;0.1;1;0;1;0
11;1;785;1000;216;66;84;19;2;0.1;0;0;0;1
11;1;785;1000;216;66;84;19;2;0.1;0.5;0;0;0.5
11;1;785;1000;216;66;84;19;2;0.1;1;0;0;0
11;2;646;783;138;54;66;13;2;0.1;0;0;1;1
11;2;646;783;138;54;66;13;2;0.1;0.5;0;1;0.5
11;2;646;783;138;54;66;13;2;0.1;1;0;1;0
