"industry";"cartel";"start";"end";"duration";"startyear";"endyear";"duration_year";"n_firms"
1;1;1;1000;1000;1;84;84;2
2;1;1;1000;1000;1;84;84;2
3;1;1;1000;1000;1;84;84;2
4;1;1;1000;1000;1;84;84;2
5;1;1;1000;1000;1;84;84;2
6;1;1;1000;1000;1;84;84;2
7;1;1;1000;1000;1;84;84;2
8;1;1;1000;1000;1;84;84;2
9;1;1;1000;1000;1;84;84;2
10;1;1;1000;1000;1;84;84;2
11;1;1;1000;1000;1;84;84;2
12;1;1;1000;1000;1;84;84;2
13;1;1;1000;1000;1;84;84;2
14;1;1;1000;1000;1;84;84;2
15;1;1;1000;1000;1;84;84;2
16;1;1;1000;1000;1;84;84;2
17;1;1;1000;1000;1;84;84;2
18;1;1;1000;1000;1;84;84;2
19;1;1;1000;1000;1;84;84;2
20;1;1;1000;1000;1;84;84;2
21;1;1;1000;1000;1;84;84;2
22;1;1;1000;1000;1;84;84;2
23;1;1;1000;1000;1;84;84;2
24;1;1;1000;1000;1;84;84;2
25;1;1;1000;1000;1;84;84;2
26;1;1;1000;1000;1;84;84;2
27;1;1;1000;1000;1;84;84;2
28;1;1;1000;1000;1;84;84;2
29;1;1;1000;1000;1;84;84;2
30;1;1;1000;1000;1;84;84;2
31;1;1;1000;1000;1;84;84;2
32;1;1;1000;1000;1;84;84;2
33;1;1;1000;1000;1;84;84;2
34;1;1;1000;1000;1;84;84;2
35;1;1;1000;1000;1;84;84;2
36;1;1;1000;1000;1;84;84;2
37;1;1;1000;1000;1;84;84;2
38;1;1;1000;1000;1;84;84;2
39;1;1;1000;1000;1;84;84;2
40;1;1;1000;1000;1;84;84;2
41;1;1;1000;1000;1;84;84;2
42;1;1;1000;1000;1;84;84;2
43;1;1;1000;1000;1;84;84;2
44;1;1;1000;1000;1;84;84;2
45;1;1;1000;1000;1;84;84;2
46;1;1;1000;1000;1;84;84;2
47;1;1;1000;1000;1;84;84;2
48;1;1;1000;1000;1;84;84;2
49;1;1;1000;1000;1;84;84;2
50;1;1;1000;1000;1;84;84;2
51;1;1;1000;1000;1;84;84;2
52;1;1;1000;1000;1;84;84;2
53;1;1;1000;1000;1;84;84;2
54;1;1;1000;1000;1;84;84;2
55;1;1;1000;1000;1;84;84;2
56;1;1;1000;1000;1;84;84;2
57;1;1;1000;1000;1;84;84;2
58;1;1;1000;1000;1;84;84;2
59;1;1;1000;1000;1;84;84;2
60;1;1;1000;1000;1;84;84;2
61;1;1;1000;1000;1;84;84;2
62;1;1;1000;1000;1;84;84;2
63;1;1;1000;1000;1;84;84;2
64;1;1;1000;1000;1;84;84;2
65;1;1;1000;1000;1;84;84;2
66;1;1;1000;1000;1;84;84;2
67;1;1;1000;1000;1;84;84;2
68;1;1;1000;1000;1;84;84;2
69;1;1;1000;1000;1;84;84;2
70;1;1;1000;1000;1;84;84;2
71;1;1;1000;1000;1;84;84;2
72;1;1;1000;1000;1;84;84;2
73;1;1;1000;1000;1;84;84;2
74;1;1;1000;1000;1;84;84;2
75;1;1;1000;1000;1;84;84;2
76;1;1;1000;1000;1;84;84;2
77;1;1;1000;1000;1;84;84;2
78;1;1;1000;1000;1;84;84;2
79;1;1;1000;1000;1;84;84;2
80;1;1;1000;1000;1;84;84;2
81;1;1;1000;1000;1;84;84;2
82;1;1;1000;1000;1;84;84;2
83;1;1;1000;1000;1;84;84;2
84;1;1;1000;1000;1;84;84;2
85;1;1;1000;1000;1;84;84;2
86;1;1;1000;1000;1;84;84;2
87;1;1;1000;1000;1;84;84;2
88;1;1;1000;1000;1;84;84;2
89;1;1;1000;1000;1;84;84;2
90;1;1;1000;1000;1;84;84;2
91;1;1;1000;1000;1;84;84;2
92;1;1;1000;1000;1;84;84;2
93;1;1;1000;1000;1;84;84;2
94;1;1;1000;1000;1;84;84;2
95;1;1;1000;1000;1;84;84;2
96;1;1;1000;1000;1;84;84;2
97;1;1;1000;1000;1;84;84;2
98;1;1;1000;1000;1;84;84;2
99;1;1;1000;1000;1;84;84;2
