"n_firms";"rho_start";"theta_len";"structured";"gamma";"mean_sum_detected";"mean_duration_detected";"mean_sum_undetected";"mean_duration_undetected";"mean_sum_population";"mean_duration_population"
2;0.2;1;0;0.9;73.653;200;25.978;260;99.631;212.433
2;0.2;0.5;0;0.9;73.653;200;25.978;260;99.631;212.433
2;0.2;0;0;0.9;73.653;200;25.978;260;99.631;212.433
3;0.2;1;0;0.9;75.541;182;24.044;240;99.585;193.369
3;0.2;0.5;0;0.9;75.541;182;24.044;240;99.585;193.369
3;0.2;0;0;0.9;75.541;182;24.044;240;99.585;193.369
4;0.2;1;0;0.9;63.262;172;28.919;228;92.181;186.601
4;0.2;0.5;0;0.9;60.769;170;29.654;181;90.423;173.557
4;0.2;0;0;0.9;57.796;165;30.838;63;88.634;105.768
5;0.2;1;0;0.9;25.403;115;30.142;87;55.545;97.963
5;0.2;0.5;0;0.9;23.49;109;30.063;65;53.553;78.87
5;0.2;0;0;0.9;21.077;100;30.979;32;52.056;44.568
6;0.2;1;0;0.9;0.042;21;0.704;35;0.746;33.909
6;0.2;0.5;0;0.9;0.034;34;0.621;19;0.655;19.265
6;0.2;0;0;0.9;0.034;34;0.588;13;0.622;13.234
7;0.2;1;0;0.9;0;0;0;0;0;0
7;0.2;0.5;0;0.9;0;0;0;0;0;0
7;0.2;0;0;0.9;0;0;0;0;0;0
