"n_firms";"rho_start";"theta_len";"structured";"gamma";"mean_sum_detected";"mean_duration_detected";"mean_sum_undetected";"mean_duration_undetected";"mean_sum_population";"mean_duration_population"
2;0.1;0.5;1;0.9;66.792;225;32.911;332;99.703;251.775
2;0.15;0.5;1;0.9;81.959;159;17.527;183;99.486;162.559
2;0.2;0.5;1;0.9;88.66;125;10.635;110;99.295;123.501
2;0.25;0.5;1;0.9;90.338;103;8.72;90;99.058;101.598
2;0.3;0.5;1;0.9;70.452;82;4.725;59;75.177;79.721
2;0.35;0.5;1;0.9;36.286;92;1.191;54;37.477;89.658
3;0.1;0.5;1;0.9;65.567;205;33.885;308;99.452;231.284
3;0.15;0.5;1;0.9;81.54;167;17.923;181;99.463;169.732
3;0.2;0.5;1;0.9;75.178;131;9.678;90;84.856;124.24
3;0.25;0.5;1;0.9;49.807;122;4.285;86;54.092;118.363
3;0.3;0.5;1;0.9;27.958;101;0.883;46;28.841;97.436
3;0.35;0.5;1;0.9;22.059;119;2.166;135;24.225;120.522
4;0.1;0.5;1;0.9;62.191;237;32.635;255;94.826;243.144
4;0.15;0.5;1;0.9;45.188;166;23.391;189;68.579;173.179
4;0.2;0.5;1;0.9;31.286;138;8.321;99;39.607;127.354
4;0.25;0.5;1;0.9;21.733;134;4.007;80;25.74;121.415
4;0.3;0.5;1;0.9;13.609;135;3.174;144;16.783;136.447
4;0.35;0.5;1;0.9;9.754;116;4.789;117;14.543;116.344
5;0.1;0.5;1;0.9;40.221;188;29.745;77;69.966;116.805
5;0.15;0.5;1;0.9;19.944;138;23.477;82;43.421;100.979
5;0.2;0.5;1;0.9;9.308;89;12.691;58;21.999;67.689
5;0.25;0.5;1;0.9;4.208;64;7.22;39;11.428;45.17
5;0.3;0.5;1;0.9;0.928;52;3.326;36;4.254;38.673
5;0.35;0.5;1;0.9;0.221;25;0.318;29;0.539;26.95
6;0.1;0.5;1;0.9;0.572;38;6.615;15;7.187;16.26
6;0.15;0.5;1;0.9;0.52;43;2.667;22;3.187;24.144
6;0.2;0.5;1;0.9;0.034;34;0.566;20;0.6;20
6;0.25;0.5;1;0.9;0;0;0.203;34;0.203;33.833
6;0.3;0.5;1;0.9;0;0;0.16;16;0.16;16
6;0.35;0.5;1;0.9;0;0;0;0;0;0
7;0.1;0.5;1;0.9;0;0;0.044;9;0.044;8.8
7;0.15;0.5;1;0.9;0;0;0;0;0;0
7;0.2;0.5;1;0.9;0;0;0;0;0;0
7;0.25;0.5;1;0.9;0;0;0;0;0;0
7;0.3;0.5;1;0.9;0;0;0;0;0;0
7;0.35;0.5;1;0.9;0;0;0;0;0;0
