"n_firms";"rho_start";"theta_len";"structured";"gamma";"mean_sum_detected";"mean_duration_detected";"mean_sum_undetected";"mean_duration_undetected";"mean_sum_population";"mean_duration_population"
2;0.1;1;0;0.9;56.551;277;43.245;437;99.796;329.36
2;0.15;1;0;0.9;69.59;228;30.105;301;99.695;246.16
2;0.2;1;0;0.9;73.653;200;25.978;260;99.631;212.433
2;0.25;1;0;0.9;78.057;165;21.469;217;99.526;173.693
2;0.3;1;0;0.9;82.187;135;17.108;171;99.295;140.446
2;0.35;1;0;0.9;85.709;129;13.602;135;99.311;129.988
3;0.1;1;0;0.9;55.669;276;43.901;399;99.57;319.135
3;0.15;1;0;0.9;72.343;231;27.344;279;99.687;242.547
3;0.2;1;0;0.9;75.541;182;24.044;240;99.585;193.369
3;0.25;1;0;0.9;77.226;170;22.237;210;99.463;177.296
3;0.3;1;0;0.9;82.824;134;16.543;169;99.367;138.587
3;0.35;1;0;0.9;82.479;119;16.341;145;98.82;122.758
4;0.1;1;0;0.9;54.642;289;44.35;426;98.992;337.857
4;0.15;1;0;0.9;60.518;234;35.736;319;96.254;259.445
4;0.2;1;0;0.9;63.262;172;28.919;228;92.181;186.601
4;0.25;1;0;0.9;63.837;161;19.389;164;83.226;161.918
4;0.3;1;0;0.9;51.959;122;16.459;114;68.418;119.821
4;0.35;1;0;0.9;29.52;99;15.354;97;44.874;97.978
5;0.1;1;0;0.9;45.919;230;43.073;198;88.992;213.41
5;0.15;1;0;0.9;35.004;170;36.572;123;71.576;142.016
5;0.2;1;0;0.9;25.403;115;30.142;87;55.545;97.963
5;0.25;1;0;0.9;13.335;77;18.646;52;31.981;60.228
5;0.3;1;0;0.9;3.68;99;5.506;62;9.186;72.905
5;0.35;1;0;0.9;0.412;34;1.211;58;1.623;49.182
6;0.1;1;0;0.9;1.16;50;7.86;17;9.02;18.522
6;0.15;1;0;0.9;1.085;64;4.027;38;5.112;41.561
6;0.2;1;0;0.9;0.042;21;0.704;35;0.746;33.909
6;0.25;1;0;0.9;0;0;0.22;55;0.22;55
6;0.3;1;0;0.9;0;0;0.202;40;0.202;40.4
6;0.35;1;0;0.9;0;0;0;0;0;0
7;0.1;1;0;0.9;0;0;0.044;9;0.044;8.8
7;0.15;1;0;0.9;0;0;0;0;0;0
7;0.2;1;0;0.9;0;0;0;0;0;0
7;0.25;1;0;0.9;0;0;0;0;0;0
7;0.3;1;0;0.9;0;0;0;0;0;0
7;0.35;1;0;0.9;0;0;0;0;0;0
2;0.1;0.5;0;0.9;56.551;277;43.245;437;99.796;329.36
2;0.15;0.5;0;0.9;69.59;228;30.105;301;99.695;246.16
2;0.2;0.5;0;0.9;73.653;200;25.978;260;99.631;212.433
2;0.25;0.5;0;0.9;78.057;165;21.469;217;99.526;173.693
2;0.3;0.5;0;0.9;82.187;135;17.108;171;99.295;140.446
2;0.35;0.5;0;0.9;85.709;129;13.602;135;99.311;129.988
3;0.1;0.5;0;0.9;55.669;276;43.901;399;99.57;319.135
3;0.15;0.5;0;0.9;72.343;231;27.344;279;99.687;242.547
3;0.2;0.5;0;0.9;75.541;182;24.044;240;99.585;193.369
3;0.25;0.5;0;0.9;77.226;170;22.237;210;99.463;177.296
3;0.3;0.5;0;0.9;82.584;134;16.553;169;99.137;138.459
3;0.35;0.5;0;0.9;82.115;119;16.169;143;98.284;122.702
4;0.1;0.5;0;0.9;53.755;286;45.019;406;98.774;330.348
4;0.15;0.5;0;0.9;58.987;230;36.099;273;95.086;244.437
4;0.2;0.5;0;0.9;60.769;170;29.654;181;90.423;173.557
4;0.25;0.5;0;0.9;58.986;154;21.608;141;80.594;150.362
4;0.3;0.5;0;0.9;45.486;113;19.031;102;64.517;109.166
4;0.35;0.5;0;0.9;25.385;93;15.948;88;41.333;90.643
5;0.1;0.5;0;0.9;44.473;223;43.66;140;88.133;172.81
5;0.15;0.5;0;0.9;32.791;164;37.41;96;70.201;118.783
5;0.2;0.5;0;0.9;23.49;109;30.063;65;53.553;78.87
5;0.25;0.5;0;0.9;12.47;74;18.063;46;30.533;54.041
5;0.3;0.5;0;0.9;2.883;90;4.906;39;7.789;48.987
5;0.35;0.5;0;0.9;0.317;29;1.01;44;1.327;39.029
6;0.1;0.5;0;0.9;1.16;50;7.86;17;9.02;18.522
6;0.15;0.5;0;0.9;0.73;46;3.919;25;4.649;26.718
6;0.2;0.5;0;0.9;0.034;34;0.621;19;0.655;19.265
6;0.25;0.5;0;0.9;0;0;0.203;34;0.203;33.833
6;0.3;0.5;0;0.9;0;0;0.16;16;0.16;16
6;0.35;0.5;0;0.9;0;0;0;0;0;0
7;0.1;0.5;0;0.9;0;0;0.044;9;0.044;8.8
7;0.15;0.5;0;0.9;0;0;0;0;0;0
7;0.2;0.5;0;0.9;0;0;0;0;0;0
7;0.25;0.5;0;0.9;0;0;0;0;0;0
